dataset,seed,corruption,severity,alpha,method,n_train,n_calib,n_aug_calib,n_test,n_channels,series_length,n_classes,coverage,avg_set_size,singleton_rate,singleton_accuracy,empty_rate,top1_accuracy,ece
BasicMotions,0,noise,0.2,0.05,fast_cp_mixed_confidence_only,26,14,140,40,6,100,4,1.0,1.025,0.975,1.0,0.0,0.975,0.1030055633856159
BasicMotions,0,noise,0.2,0.05,fast_cp_mixed_random_fingerprint,26,14,140,40,6,100,4,0.975,1.0,1.0,0.975,0.0,0.975,0.1030055633856159
BasicMotions,0,noise,0.2,0.05,fast_cp_mixed,26,14,140,40,6,100,4,0.975,1.0,1.0,0.975,0.0,0.975,0.1030055633856159
BasicMotions,0,drift,0.1,0.05,clean_split_cp,26,14,140,40,6,100,4,1.0,1.025,0.975,1.0,0.0,1.0,0.08247782741156379
BasicMotions,0,drift,0.1,0.05,aug_split_cp,26,14,140,40,6,100,4,1.0,1.025,0.975,1.0,0.0,1.0,0.08247782741156379
BasicMotions,0,drift,0.1,0.05,fast_cp_mixed_input_only,26,14,140,40,6,100,4,1.0,1.025,0.975,1.0,0.0,1.0,0.08247782741156379
BasicMotions,0,drift,0.1,0.05,fast_cp_mixed_confidence_only,26,14,140,40,6,100,4,1.0,1.025,0.975,1.0,0.0,1.0,0.08247782741156379
BasicMotions,0,drift,0.1,0.05,fast_cp_mixed_random_fingerprint,26,14,140,40,6,100,4,1.0,1.025,0.975,1.0,0.0,1.0,0.08247782741156379
BasicMotions,0,drift,0.1,0.05,fast_cp_mixed,26,14,140,40,6,100,4,1.0,1.025,0.975,1.0,0.0,1.0,0.08247782741156379
BasicMotions,0,drift,0.2,0.05,clean_split_cp,26,14,140,40,6,100,4,1.0,1.0,1.0,1.0,0.0,1.0,0.08314337670334625
BasicMotions,0,drift,0.2,0.05,aug_split_cp,26,14,140,40,6,100,4,1.0,1.0,1.0,1.0,0.0,1.0,0.08314337670334625
BasicMotions,0,drift,0.2,0.05,fast_cp_mixed_input_only,26,14,140,40,6,100,4,1.0,1.0,1.0,1.0,0.0,1.0,0.08314337670334625
BasicMotions,0,drift,0.2,0.05,fast_cp_mixed_confidence_only,26,14,140,40,6,100,4,1.0,1.025,0.975,1.0,0.0,1.0,0.08314337670334625
BasicMotions,0,drift,0.2,0.05,fast_cp_mixed_random_fingerprint,26,14,140,40,6,100,4,1.0,1.0,1.0,1.0,0.0,1.0,0.08314337670334625
